https://docs.google.com/spreadsheets/d/11-nq0NsJycMLJ4nDu_bA79zLMl0CPFT7cgkKFSCa7jI/edit#gid=0

PtId	dtype	before/after	mean	std
21	arr	10	4.131942	0.265679
22	arr	10	2.683198	0.358822
23	arr	10	2.173868	0.446237
24	arr	10	1.497527	0.182549
25	arr	10	2.037021	0.29177
26	arr	10	1.849736	0.520975
27	arr	10	2.124048	0.219822
28	arr	10	0.480904	0.272365
29	arr	10	2.743851	0.523112
30	arr	10	2.875464	0.236843
31	arr	10	1.58955	0.21686
32	arr	10	2.901052	0.23081
33	arr	10	4.169617	0.55176
34	arr	10	2.504857	0.330563
35	arr	10	2.401863	0.367667
36	arr	10	2.456068	0.246117
37	arr	10	3.575173	0.410626
38	arr	10	4.535361	0.269969
39	arr	10	2.36093	0.421149
40	arr	10	1.455067	0.386673
41	arr	10	2.815553	0.61491
42	arr	10	1.587924	0.865709
43	arr	10	3.766574	0.453062
44	arr	10	3.518517	0.184753
45	arr	10	1.615101	0.258809
46	arr	10	2.604216	0.373687
47	arr	10	2.812122	0.188679
0	arr	15	2.931113	0.274018
1	arr	15	3.204339	0.266754
2	arr	15	1.405532	0.110018
3	arr	15	4.73727	0.315109
4	arr	15	1.765242	0.648795
5	arr	15	2.79172	0.321562
6	arr	15	4.069037	1.208241
7	arr	15	4.699643	0.536264
8	arr	15	1.717604	0.519678
9	arr	15	3.037469	0.614678
10	arr	15	1.61446	0.233454
11	arr	15	2.071102	0.155159
12	arr	15	5.179591	0.255647
13	arr	15	1.240479	0.365988
14	arr	15	5.112899	0.262146
15	arr	15	6.585273	1.4421
16	arr	15	2.386568	0.215848
17	arr	15	4.379103	0.453395
18	arr	15	4.650147	0.268866
19	arr	15	1.511727	0.161765
20	arr	15	3.565543	0.118878
21	arr	15	5.071767	0.302099
22	arr	15	4.24205	0.470118
23	arr	15	2.906714	0.654765
24	arr	15	2.019472	0.278366
25	arr	15	2.911213	0.421326
26	arr	15	2.678555	0.73398
27	arr	15	2.454735	0.211397
28	arr	15	1.141125	0.35515
29	arr	15	3.663021	0.536593
30	arr	15	3.235037	0.24788
31	arr	15	2.281165	0.349073
32	arr	15	3.539593	0.232472
33	arr	15	5.943532	0.448691
34	arr	15	3.54979	0.522828
35	arr	15	2.96487	0.526918
36	arr	15	2.964746	0.363122
37	arr	15	5.00777	0.49491
38	arr	15	5.154562	0.289515
39	arr	15	3.168484	0.34922
40	arr	15	1.543827	0.388974
41	arr	15	3.676557	0.898958
42	arr	15	2.097941	1.109266
43	arr	15	4.528197	0.510438
44	arr	15	3.996729	0.184185
45	arr	15	1.87203	0.287848
46	arr	15	3.814811	0.539853
47	arr	15	3.894804	0.196412
0	arr	95	2.771219	0.285719
1	arr	95	3.359125	0.284921
2	arr	95	1.83317	0.148992
3	arr	95	4.50821	0.328668
4	arr	95	2.329385	0.627453
5	arr	95	3.566474	0.539407
6	arr	95	4.26094	1.229529
7	arr	95	6.82046	0.88165
8	arr	95	2.175768	0.579115
9	arr	95	5.004402	1.055459
10	arr	95	2.100248	0.322979
11	arr	95	2.136721	0.166089
12	arr	95	4.767249	0.272728
13	arr	95	1.324589	0.40666
14	arr	95	5.017121	0.267491
15	arr	95	6.782004	1.549654
16	arr	95	2.455342	0.228095
17	arr	95	5.392146	0.523657
18	arr	95	5.260119	0.765948
19	arr	95	2.054455	0.205433
20	arr	95	4.397759	0.121056
21	arr	95	4.943395	0.314964
22	arr	95	5.123918	0.513571
23	arr	95	3.324457	0.803982
24	arr	95	2.231287	0.251629
25	arr	95	3.332464	0.441868
26	arr	95	3.547484	1.047277
27	arr	95	2.429012	0.269808
28	arr	95	2.31449	0.439282
29	arr	95	3.783771	0.546378
30	arr	95	3.151759	0.255958
31	arr	95	2.607672	0.374688
32	arr	95	3.687957	0.213952
33	arr	95	6.463729	0.584687
34	arr	95	4.429588	0.679699
35	arr	95	3.056027	0.587231
36	arr	95	4.736827	0.775027
37	arr	95	5.153151	0.508048
38	arr	95	5.003288	0.30171
39	arr	95	3.257782	0.343839
40	arr	95	1.60497	0.400884
41	arr	95	4.267596	0.90754
42	arr	95	2.417354	1.333436
43	arr	95	4.677974	0.530132
44	arr	95	4.068574	0.233955
45	arr	95	1.972401	0.284071
46	arr	95	4.783859	0.705217
47	arr	95	3.727709	0.211022
8	arrx	10	1.153041	0.222786
9	arrx	10	1.482051	0.225363
10	arrx	10	1.226856	0.168855
11	arrx	10	1.496932	0.124269
12	arrx	10	4.402781	0.25165
13	arrx	10	0.964757	0.363698
14	arrx	10	4.534904	0.292624
15	arrx	10	5.686042	0.315509
16	arrx	10	2.134264	0.119066
19	arrx	10	0.932536	0.097735
20	arrx	10	2.23671	0.152809
21	arrx	10	4.090403	0.245756
22	arrx	10	2.609596	0.392225
38	arrx	10	4.452176	0.335283
39	arrx	10	2.35936	0.454131
40	arrx	10	1.399972	0.328355
41	arrx	10	2.480045	0.467337
42	arrx	10	1.599815	0.959058
43	arrx	10	3.655061	0.458451
44	arrx	10	3.575301	0.228266
45	arrx	10	1.463726	0.247779
46	arrx	10	2.69748	0.363333
47	arrx	10	2.761274	0.198773
8	arrx	15	1.690829	0.549741
9	arrx	15	2.71171	0.410029
10	arrx	15	1.677217	0.224383
11	arrx	15	2.056672	0.129041
12	arrx	15	5.130063	0.257526
13	arrx	15	1.125251	0.363628
14	arrx	15	5.070755	0.303651
15	arrx	15	7.684851	0.486307
16	arrx	15	2.562731	0.119974
19	arrx	15	1.60676	0.115217
20	arrx	15	3.482833	0.110688
21	arrx	15	5.041896	0.282397
22	arrx	15	4.10527	0.486931
38	arrx	15	5.08638	0.346647
39	arrx	15	3.175937	0.3709
40	arrx	15	1.461403	0.327591
41	arrx	15	3.256411	0.790297
42	arrx	15	2.059938	1.276931
43	arrx	15	4.391139	0.490781
44	arrx	15	4.048089	0.227503
45	arrx	15	1.692872	0.28106
46	arrx	15	3.929778	0.538349
47	arrx	15	3.829923	0.200897
8	arrx	95	2.196516	0.557055
9	arrx	95	4.504472	0.521667
10	arrx	95	2.185453	0.305896
11	arrx	95	2.100785	0.135239
12	arrx	95	4.726114	0.279583
13	arrx	95	1.267386	0.429716
14	arrx	95	4.978847	0.312325
15	arrx	95	7.897201	0.53376
16	arrx	95	2.654897	0.125538
19	arrx	95	2.172505	0.141069
20	arrx	95	4.307606	0.117989
21	arrx	95	4.898624	0.293778
22	arrx	95	4.930317	0.563663
38	arrx	95	4.918836	0.363072
39	arrx	95	3.304423	0.35556
40	arrx	95	1.500044	0.347074
41	arrx	95	3.795576	0.876033
42	arrx	95	2.4712	1.551745
43	arrx	95	4.552904	0.507559
44	arrx	95	4.114201	0.289467
45	arrx	95	1.81274	0.27845
46	arrx	95	4.907659	0.709973
47	arrx	95	3.666676	0.21515
